198113080306,27.59,146.61,  987, 19.1,265.5,GMS-1 
198113080312,28.96,146.45,  983, 20.6,226.9,GMS-1 
198113080406,32.72,145.50,  982, 21.6,253.0,GMS-1 
198113080412,34.12,145.33,  980, 21.5,208.4,GMS-1 
198113080418,35.55,145.12,  980, 21.8,227.7,GMS-1 
198113080500,36.72,145.05,  980, 23.8,236.7,GMS-1 
198113080506,38.50,145.18,  975, 27.9,252.0,GMS-1 
198115080512,16.76,117.16,  991, 21.6,153.9,GMS-1 
198115080518,17.32,117.47,  991, 21.6,136.6,GMS-1 
198115080600,17.82,117.82,  989, 23.4,156.8,GMS-1 
198115080606,18.51,118.31,  989, 23.4,267.4,GMS-1 
198115080612,19.30,118.62,  991, 22.5,287.6,GMS-1 
198115080618,19.92,118.33,  992, 21.6,207.2,GMS-1 
198115080700,20.32,117.85,  994, 19.6,209.1,GMS-1 
198115080706,20.53,117.38,  994, 18.6,150.9,GMS-1 
198117080800,22.64,165.36,  992, 17.6,281.6,GMS-1 
198117080806,23.72,165.41,  992, 17.6,300.4,GMS-1 
198117080812,25.00,165.26,  988, 21.0,243.5,GMS-1 
198117080906,29.08,164.08,  985, 22.5,148.9,GOE-4 
198117080912,30.10,163.40,  987, 24.0,140.4,GOE-4 
198117080918,30.76,162.48,  987, 24.4,160.3,GOE-4 
198117081000,31.20,161.58,  985, 26.9,203.9,GMS-1 
198117081006,31.65,161.27,  982, 28.3,185.2,GMS-1 
198117081012,32.10,161.08,  982, 27.4,169.0,GMS-1 
198117081018,32.47,160.72,  982, 26.8,161.1,GMS-1 
198117081100,32.78,160.04,  982, 25.4,179.0,GMS-1 
198117081106,33.19,159.66,  981, 25.4,236.6,GMS-1 
198117081112,33.74,159.10,  983, 23.0,242.9,GMS-1 
198117081118,34.29,158.14,  985, 22.5,192.8,GMS-1 
198117081200,34.72,157.04,  985, 20.6,216.7,GMS-1 
198117081206,35.09,156.20,  990, 19.6,209.6,GMS-1 
198117081212,35.53,155.40,  992, 17.6,216.1,GMS-1 
198119081706,28.52,159.34,  984, 22.9,311.8,GMS-1 
198119081712,29.50,160.34,  982, 23.4,218.4,GMS-1 
198119081718,30.44,161.30,  982, 23.0,223.7,GMS-1 
198119081800,31.20,162.24,  982, 22.5,204.7,GMS-1 
198119081806,31.97,163.47,  984, 22.0,164.4,GMS-1 
198119081900,34.52,166.29,  989, 20.5,174.2,GMS-1 
198119081912,37.38,166.48,  991, 18.9,150.6,GMS-1 
198119081918,38.74,166.37,  991, 18.9,180.4,GMS-1 
198120081606,19.07,131.57,  993, 18.0,224.7,GMS-1 
198120081700,20.05,132.37,  986, 21.5,173.1,GMS-1 
198120081706,20.20,132.75,  984, 24.9,169.5,GMS-1 
198120081712,20.48,132.98,  984, 26.4,178.3,GMS-1 
198120081718,20.99,133.20,  980, 27.4,163.0,GMS-1 
198120081800,21.56,133.22,  975, 30.3,250.3,GMS-1 
198120081806,22.25,133.32,  968, 33.2,230.9,GMS-1 
198120081812,22.92,133.50,  967, 34.7,202.3,GMS-1 
198120081818,23.63,133.77,  964, 36.6,320.3,GMS-1 
198120081900,24.20,134.02,  962, 37.1,241.2,GMS-1 
198120081906,24.78,134.27,  960, 38.1,292.2,GMS-1 
198120081912,25.18,134.50,  958, 38.6,292.5,GMS-1 
198120081918,25.57,134.83,  955, 38.6,319.7,GMS-1 
198120082000,25.86,135.24,  959, 37.1,323.0,GMS-1 
198120082006,26.18,135.70,  960, 37.1,282.8,GMS-1 
198120082012,26.56,136.02,  960, 37.1,383.1,GMS-1 
198120082018,27.10,136.40,  962, 37.1,417.4,GMS-1 
198120082100,27.70,136.78,  964, 37.1,329.3,GMS-1 
198120082106,28.49,137.19,  965, 36.2,259.7,GMS-1 
198120082112,29.16,137.40,  967, 34.7,270.2,GMS-1 
198120082118,29.74,137.47,  967, 34.7,277.4,GMS-1 
198120082200,30.36,137.56,  967, 34.2,227.4,GMS-1 
198120082206,31.10,137.93,  967, 33.7,237.4,GMS-1 
198120082212,32.40,138.40,  967, 32.7,274.6,GMS-1 
198120082218,34.50,139.46,  965, 31.8,233.3,GMS-1 
198120082300,37.82,140.52,  964, 29.9,208.6,GMS-1 
198121082700,17.40,139.68,  996, 18.1,172.4,GMS-1 
198121082706,17.75,138.37,  994, 18.6,154.1,GMS-1 
198121082712,18.12,137.16,  992, 21.0,206.1,GMS-1 
198121082800,19.26,135.12,  987, 23.0,196.4,GMS-1 
198121082806,19.89,134.05,  985, 24.0,253.3,GMS-1 
198121082812,20.46,133.02,  982, 26.8,156.5,GMS-1 
198121082818,21.03,131.95,  975, 27.9,169.0,GMS-1 
198121082900,21.66,131.04,  975, 28.8,180.1,GMS-1 
198121082906,22.39,130.11,  975, 30.2,184.3,GMS-1 
198121082912,23.06,129.02,  971, 32.2,206.7,GMS-1 
198121082918,23.74,128.05,  968, 33.7,183.8,GMS-1 
198121083000,24.36,127.26,  961, 37.1,202.5,GMS-1 
198121083006,24.99,126.54,  957, 38.6,204.8,GMS-1 
198121083012,25.66,125.98,  955, 40.6,218.6,GMS-1 
198121083018,26.48,125.24,  953, 41.1,201.3,GMS-1 
198121083100,27.26,124.74,  950, 42.9,209.8,GMS-1 
198121083106,28.15,124.28,  950, 43.5,243.0,GMS-1 
198121083112,29.04,123.78,  950, 42.9,226.8,GMS-1 
198121083118,29.82,123.36,  953, 42.5,241.9,GMS-1 
198121090100,30.40,123.22,  957, 39.6,203.7,GMS-1 
198121090106,30.84,123.19,  957, 39.1,208.0,GMS-1 
198121090112,31.27,123.27,  960, 34.3,252.5,GMS-1 
198121090118,31.67,123.38,  965, 31.8,290.3,GMS-1 
198121090200,32.10,123.58,  972, 28.7,276.4,GMS-1 
198121090206,32.39,123.90,  975, 28.7,265.7,GMS-1 
198121090212,32.66,124.48,  978, 26.4,269.2,GMS-1 
198121090218,32.99,125.19,  978, 25.5,250.1,GMS-1 
198121090306,33.94,127.32,  982, 21.2,219.0,GMS-1 
198121090312,34.51,128.63,  986, 21.2,219.5,GMS-1 
198122090312,22.69,152.16,  993, 21.5,207.7,GMS-1 
198122090318,22.91,151.27,  990, 23.4,123.4,GMS-1 
198122090400,23.24,150.36,  986, 24.9,125.3,GMS-1 
198122090406,23.94,149.30,  980, 27.3,126.1,GMS-1 
198122090412,24.72,148.26,  975, 30.3,132.5,GMS-1 
198122090418,25.45,147.36,  969, 32.6,154.3,GMS-1 
198122090500,26.08,146.64,  959, 37.5,143.8,GMS-1 
198122090506,27.10,145.98,  960, 38.1,154.5,GMS-1 
198122090512,28.28,145.60,  960, 38.6,144.4,GMS-1 
198122090518,29.44,145.47,  960, 38.1,136.0,GMS-1 
198122090600,30.92,145.64,  960, 37.1,154.4,GMS-1 
198122090606,32.70,146.19,  965, 36.1,180.6,GMS-1 
198122090612,34.62,147.36,  970, 32.2,190.4,GMS-1 
198122090618,36.63,149.48,  972, 30.4,175.6,GMS-1 
198122090700,38.69,152.78,  979, 24.5,192.9,GMS-1 
198123091700,12.68,132.14,  996, 17.6,210.3,GMS-1 
198123091706,13.12,131.31,  993, 19.5,213.5,GMS-1 
198123091712,13.56,130.52,  990, 22.0,206.0,GMS-1 
198123091718,13.87,129.72,  985, 24.9,182.1,GMS-1 
198123091800,14.20,128.84,  978, 28.8,197.1,GMS-1 
198123091806,14.61,128.07,  975, 32.7,218.0,GMS-1 
198123091812,15.20,127.20,  968, 35.7,226.6,GMS-1 
198123091818,15.77,126.31,  960, 36.8,211.5,GMS-1 
198123091900,16.50,125.42,  952, 42.6,233.2,GMS-1 
198123091906,17.24,124.51,  937, 46.9,259.1,GMS-1 
198123091912,17.88,123.68,  928, 53.8,293.0,GMS-1 
198123091918,18.41,122.86,  928, 55.1,283.7,GMS-1 
198123092000,18.78,122.08,  940, 54.7,271.2,GMS-1 
198123092006,19.15,121.20,  946, 51.9,294.3,GMS-1 
198123092012,19.64,120.36,  957, 44.0,300.2,GMS-1 
198123092018,20.14,119.36,  959, 41.7,248.7,GMS-1 
198123092100,20.60,118.52,  960, 40.6,232.6,GMS-1 
198123092106,21.06,117.68,  960, 39.2,179.6,GMS-1 
198123092112,21.68,116.92,  962, 38.2,202.6,GMS-1 
198123092118,22.52,116.12,  967, 36.8,169.3,GMS-1 
198123092200,23.50,115.15,  982, 24.0,138.1,GMS-1 
198124092006,26.66,164.24,  992, 19.5,127.2,GMS-1 
198124092012,26.88,163.28,  990, 22.4,117.0,GMS-1 
198124092018,27.04,162.32,  985, 24.8,119.3,GMS-1 
